Owner,Address,City,State,ZIPCODE,Country,Coordinates,Type of Plant,Gas Source,Plant Capacity,SA/DA,Emissions,Year Built
AdvanSix,905 East Randolph Road ,Hopewell,Virginia,23860,USA,"37° 18' 3"" N, 77° 16' 14"" W",Sulfur Burner,Elemental Sulfur,,,,
PCI,2001 Jackson Street,Pasadena ,Texas,77003,USA,"29º 44' 33"" N, 95º 11' 30"" W",Sulfur Burner,Elemental Sulfur,1650 MTPD,SA,,1971
American Smelting and Refining Company - ASARCO,Ray Complex Hayden SmelterP.O. Box 8 640 Asarco Avenue,Hayden,Arizona,85235,USA,"33º 0' 8"" N, 110º 46' 22"" W",Metallurgical,Copper Inco Flash Furnace ,2820 MTPD,DA,,1984
"BASF 
	Corporation Agricultural Products",3150 Highway JJ,Palmyra,Missouri,63461,USA,"39° 50' 3"" N, 91° 25' 56"" W",Acid Regeneration,H2S Gas,260 STPD,,,1989
Mosaic (No.5 Plant),2501 Bonnie Mine Road,Bartow,Florida,33831,USA,"27° 51' 38"" N, 81° 55' 57"" W",Sulfur Burner,Elemental Sulfur,1002 MTPD,,,
Mosaic (No.6 Plant),2501 Bonnie Mine Road,Bartow,Florida,33831,USA,"27° 51' 38"" N, 81° 56' 0"" W",Sulfur Burner,Elemental Sulfur,1306 MTPD,,,
Chemtrade,1400 Olin Rd,Beaumont,Texas,77705-5754,USA,"30° 2' 44"" N, 94° 4' 10"" W",Acid Regeneration,Alkylation Spend Acid,825 MTPD,SA,,1983
Chemtrade,7680 Ottawa Road,Cairo,Ohio,,USA,"40°50'55""N 84°04'51""W",Sulfur Burner,Elemental Sulfur,227 MTPD,,,1960
Chemtrade Plant A & B,,Oregon,Ohio,,USA,"41°40'54""N 83°27'26""W",Acid Regeneration,Alkylation Spend Acid,,DA,,
Chemtrade Plant 1 (Formerly Koch),140 Goes In Lodge Road,Riverton ,Wyoming,82501-9100,USA,"42° 59' 52"" N, 108° 24' 58"" W",Sulfur Burner,Elemental Sulfur,,,,
Chemtrade Plant 2 (Formerly Koch),140 Goes In Lodge Road,Riverton ,Wyoming,82501-9100,USA,"42° 59' 53.5"" N, 108° 24' 58"" W",Acid Regeneration,Alkylation Spend Acid,,,,
Chemtrade,10889 LA-1 (South),Shreveport,Louisiana,71115,USA,"32° 21' 36"" N, 93° 37' 57"" W",Acid Regeneration / Sulfur Burner,Alkylation Spend Acid / Elemental Sulfur,590 STPD,SA,,1979
Chemtrade,5201 W 21st Street  ,Tulsa ,Oklahoma,,USA,"36° 8' 9"" N, 96° 3' 6"" W",Sulfur Burner,Elemental Sulfur,,SA,,
Island Energy Services (Formerly Chevron,,Kapolei,Hawaii,,USA,"21° 18' 27"" N, 158° 6' 51"" W",Acid Regeneration,Alkylation Spent Acid,90 MTPD,SA,,1960
Conoco Phillips,2200 Old Spanish Trail,Westlake,Louisiana,,USA,"30°14'39""N 93°16'18""W",Acid Regeneration,Alkylation Spent Acid,84225 STPA,,,
Conoco Phillips,1660 West Anaheim Street,Wilmington,California,,USA,"33° 46' 36"" N, 118° 17’ 0"" W",Acid Regeneration,Alkylation Spent Acid,,,,
Cornerstone Chemical ,10800 River Road,Westwego ,Louisiana,70094,USA,"29º 57' 44"" N, 90º 16' 21"" W",Acid Regeneration,Spent MMA Acid,960 MTPD,DA,,1978
Doe Run,881 Main Street,Herculaneum,Missouri,63048,USA,"38º 15' 37"" N, 90º 22' 37"" W",Metallurgical,Lead Sinter Machine,180 MTPD,4 SA,,1968
Chemours,12501 Strang Road,La Porte,Texas,,USA,"29° 41' 57"" N, 95° 2' 8"" W",Acid Regeneration,Alkylation Spend Acid / Elemental Sulfur,940 MTPD,DA,,
Southern States Chemical,1 Kerr-McGee Road ,Savannah ,Georgia,31401,USA,"32° 4' 59"" N,  81° 1' 36"" W",Sulfur Burner,Elemental Sulfur,350400 MTPA,DA,,1975
El Dorado Chemical,4500 North West Avenue,El Dorado,Arkansas,71730,USA,"33° 15' 59"" N, 92° 41' 24"" W",Sulfur Burner,Elemental Sulfur,360 STPD,SA,,1949
Flint Hills Resources ,13115 Courthouse Boulevard,Rosemount,Minnesota,55068,USA,"44° 45' 56"" N, 93° 2' 26"" W ",Acid Regeneration / Sulfur Burner,Spent Sulfuric Acid / Elemental Sulfur,440 STPD,,,
Freeport McMoran,PO BOX 220 2598 Highway 61 South ,Fort Madison,Iowa,52627,USA,"40º 35' 7"" N, 91º 25' 22"" W",Metallurgical,MO- Roaster / Sulfur Burner - Elemental Sulfur,390 MTPD,2/2 DA,,1977
Freeport McMoran,,Miami,Arizona,,USA,"33º 24' 52"" N, 110º 51' 30"" W",Metallurgical,Copper IsaSmelt technology,,3/1 DA,,1972
Freeport McMoran,Dos Pobres Copper Mine Graham County,Safford,Arizona,,USA,"32° 55' 49"" N, 109° 42' 14"" W",Sulfur Burner,Elemental Sulfur,1550 MTPD,3/1 DA,,2011
General Chemical No.1 Acid Plant,8579 North Texas Road ,Anacortes,Washington,98221,USA,"48°28'47""N 122°33'28""W",Acid Regeneration,Alkylation Spent Acid,,,,1957
General Chemical No.2 Acid Plant,8579 North Texas Road ,Anacortes,Washington,98221,USA,"  48° 28' 46.5"" N, 122° 33' 29"" W",Acid Regeneration,Alkylation Spent Acid,556 STPD,,,1964
General Chemical No.3 Acid Plant,8579 North Texas Road ,Anacortes,Washington,98221,USA," 48°28'49""N 122°33'29""W",Acid Regeneration,Alkylation Spent Acid,,,,1975
General Chemical ,525 Castro Street,Richmond,California,94801,USA," 37° 56' 23"" N, 122° 22' 41"" W",Acid Regeneration,Alkylation Spent Acid / Elemental Sulfur,"219,000 MTPA",,,
Horsehead Corporation,300 Frankfort Road,Monaca,Pennsylvania,15061,USA,"40°39'59""N 80°20'12""W",Metallurgical,Zinc,,,,
Innophos,10810 Highway 75 ,Geismer ,Louisiana,70734-3405,USA,"30°13'05""N 91°03'09""W",Sulfur Burner,Elemental Sulfur,,,,
Ioneer,,Esmeralda County,Nevada,,USA,"37°51'15""N 117°51'46""W",Sulfur Burner,Elemental Sulfur,3500 MTPD,DA,,
Itafos (East Plant),3010 Conda Road ,Soda Springs,Idaho,83403,USA,"42° 44' 21"" N, 111° 32' 25"" W",Sulfur Burner,Elemental Sulfur,1500 STPD,DA,,
JR Simplot (300 Plant),1150 West Highway 30 W,Pocatello,Idaho,83201,USA,"42°54'28""N 112°31'29""W",Sulfur Burner,Elemental Sulfur,1750 STPD,,,
JR Simplot (400 Plant),1150 West Highway 30 W,Pocatello,Idaho,83201,USA,"42°54'28""N 112°31'29""W",Sulfur Burner,Elemental Sulfur,,DA,,
JR Simplot (Lurgi Plant),515 South Highway 430,Rock Springs,Wyoming,82902,USA,"41° 32' 29"" N, 109° 7' 55"" W",Sulfur Burner,Elemental Sulfur,1905 MTPD,DA,,1986
JR Simplot (Monsanto Plant),515 South Highway 430,Rock Springs,Wyoming,82902,USA,"41° 32' 25"" N, 109° 7' 58"" W",Sulfur Burner,Elemental Sulfur,1197 MTPD,DA,,1995
Rio Tinto Kennecott Utah Copper Corp,Smelter & Refinery 12000 West 2100 South ,Magna,Utah,84044,USA,"40º 43' 24"" N, 112º 11' 46"" W",Metallurgical,Copper Outotec Flash Furnace,3500 MTPD,3/1 DA,,1995
Langeloth Mettalurgical Company,10 Langeloth Plant Drive Box 608,Langeloth,Pennsylvania,15054,USA,"40°21'50""N 80°24'03""W",Metallurgical,Molybdenum,240 STPD,3/1 DA,,1977
Lucite International,2665 Fite Road,Memphis,Tennessee,38127,USA,"35° 16' 8"" N, 89° 58' 37"" W",Acid Regeneration,Spent Acid from MMA,680 MTPD,DA - Retrofit 2006,,1972
Lucite International,6350 North Twin City Highway,Nederland ,Texas,38127,USA,"30° 0' 43"" N, 94° 1' 29"" W",Acid Regeneration,Spent Acid from MMA,625 MTPD,,,1961
Martin Operating Parternship,669 County Road,Plainview ,Texas,79027,USA,"34° 13' 26"" N, 101° 45' 18"" W",Sulfur Burner,Elemental Sulfur,500 STPD,DA,,2007
Mississippi Phosphate Corp (Plant No.2),"PO BOX 848, 601 Industrial Road (Highway 611)",Pascagoula,Mississippi,39568,USA,"30° 21' 6"" N, 88° 30' 1"" W",Sulfur Burner,Elemental Sulfur,1588 MTPD,2/2 DA,,1972
Mississippi Phosphate Corp (Plant No.3),"PO BOX 848, 601 Industrial Road (Highway 611)",Pascagoula,Mississippi,39568,USA,"30° 21' 5"" N, 88° 30' 3"" W",Sulfur Burner,Elemental Sulfur,1588 MTPF,2/2 DA,,1974
Mosaic Company (No.4 Plant),3200 Highway 60 West,Bartow,Florida,,USA,"27° 54' 28"" N, 81° 55' 5"" W",Sulfur Burner,Elemental Sulfur,2600 STPD,DA,,
Mosaic Company (No.5 Plant),3200 Highway 60 West,Bartow,Florida,,USA,"27° 54' 30"" N, 81° 55' 4"" W",Sulfur Burner,Elemental Sulfur,2600 STPD,DA,,
Mosaic Company (No.6 Plant),3200 Highway 60 West,Bartow,Florida,,USA,"27° 54' 25"" N, 81° 55' 3"" W",Sulfur Burner,Elemental Sulfur,2600 STPD,DA,,
Mosaic Company (Plant 1),9959 Highway 18 St James,St James Parish,Louisiana,70086,USA,"30º 5' 15"" N, 90º 55' 16"" W",Sulfur Burner,Elemental Sulfur,1800 MTPD,,,1975
Mosaic Company (Plant 2),9959 Highway 18 St James,St James Parish,Louisiana,70086,USA,"30º 5' 14"" N, 90º 55' 15"" W",Sulfur Burner,Elemental Sulfur,1800 MTPD,,,1975
Mosaic Company (No.4 Plant),4390 C.R. 640 West,Bartow,Florida,33830,USA,"27° 50' 26"" N 81° 54' 41"" W",Sulfur Burner,Elemental Sulfur,2100 STPD,3/1 DA,,
Mosaic Company (No.5 Plant),4390 C.R. 640 West,Bartow,Florida,33830,USA,"27° 50' 26"" N 81° 54' 34"" W",Sulfur Burner,Elemental Sulfur,2800 STPD,3/1 DA,,
Mosaic Company (No.6 Plant),4390 C.R. 640 West,Bartow,Florida,33830,USA,"27° 50' 23"" N 81° 54' 30"" W",Sulfur Burner,Elemental Sulfur,2750 STPD,3/1 DA,,
Mosaic New Wales Plant No.1,3095 Highway 640,Mulberry,Florida,,USA,"27°49'53""N 82°03'04""W",Sulfur Burner,Elemental Sulfur,3400 STPD,DA,,
Mosaic New Wales Plant No.2,3095 Highway 640,Mulberry,Florida,,USA,"27°49'53""N 82°03'02""W",Sulfur Burner,Elemental Sulfur,3400 STPD,DA,,
Mosaic New Wales Plant No.3,3095 Highway 640,Mulberry,Florida,,USA,"27°49'53""N 82°02'59""W",Sulfur Burner,Elemental Sulfur,3400 STPD,DA,,
Mosaic New Wales Plant No.4,3095 Highway 640,Mulberry,Florida,,USA,"27° 49' 50"" N 82° 3' 6"" W",Sulfur Burner,Elemental Sulfur,2900 STPD,DA,,
Mosaic New Wales Plant No.5,3095 Highway 640,Mulberry,Florida,,USA,"27°49'49""N 82°03'03""W",Sulfur Burner,Elemental Sulfur,2900 STPD,DA,,
Mosaic - Riverview  - Plant 7,8813 US-41 South,Riverview,Florida,33569,USA,"27º 51' 39"" N, 82º 23' 23"" W",Sulfur Burner,Elemental Sulfur,3200 STPD,3/1 DA,,1961
Mosaic - Riverview  - Plant 8,8813 US-41 South,Riverview,Florida,33569,USA,"27º 51' 40"" N, 82º 23' 20"" W",Sulfur Burner,Elemental Sulfur,2700 STPD,3/1 DA,,1975
Mosaic - Riverview  - Plant 9,8813 US-41 South,Riverview,Florida,33569,USA,"27º 51' 43"" N, 82º 23' 23"" W",Sulfur Burner,Elemental Sulfur,3400 STPD,3/1 DA,,
Mosaic - South Pierce - No.10 Plant,7450 Highway 630,Mulberry,Florida,33860,USA,"27° 45' 53"" N, 81° 56' 18"" W",Sulfur Burner,Elemental Sulfur,3000 STPD,3/1 DA,,
Mosaic - South Pierce  - No.11 Plant,7450 Highway 630,Mulberry,Florida,33860,USA,"27° 45' 53"" N, 81° 56' 16"" W",Sulfur Burner,Elemental Sulfur,3000 STPD,3/1 DA,,
Mosaic - Uncle Sam - A Plant,7250 Highway 44,St James Parish,Louisiana,70792,USA,"30º 2' 20"" N, 90º 49' 45"" W",Sulfur Burner,Elemental Sulfur,1500 MTPD,SA,,1968
Mosaic - Uncle Sam - D Plant,7250 Highway 44,St James Parish,Louisiana,70792,USA,"30º 2' 15"" N, 90º 49' 44"" W",Sulfur Burner,Elemental Sulfur,1500 MTPD,3/1 DA,,1974
